*N,acc_svm,acc_tree,acc_nsc,acc_naive_bayes,groups
1,0.650793650794,0.386243386243,0.539682539683,0.650793650794,Pep1
1,0.698412698413,0.708994708995,0.349206349206,0.587301587302,Pep2
1,0.783068783069,0.650793650794,0.820105820106,0.783068783069,Pep3
1,0.73544973545,0.708994708995,0.772486772487,0.73544973545,Pep4
1,0.650793650794,0.719576719577,0.492063492063,0.57671957672,Pep5
1,0.698412698413,0.555555555556,0.73544973545,0.783068783069,Pep6
1,0.73544973545,0.650793650794,0.671957671958,0.73544973545,Pep7
1,0.698412698413,0.698412698413,0.724867724868,0.772486772487,Pep8
1,0.698412698413,0.746031746032,0.746031746032,0.698412698413,Pep9
1,0.603174603175,0.698412698413,0.492063492063,0.698412698413,Pep10
1,0.698412698413,0.650793650794,0.793650793651,0.746031746032,Pep11
1,0.746031746032,0.708994708995,0.746031746032,0.746031746032,Pep12
1,0.698412698413,0.518518518519,0.650793650794,0.73544973545,Pep13
1,0.698412698413,0.698412698413,0.587301587302,0.587301587302,Pep14
1,0.746031746032,0.661375661376,0.783068783069,0.698412698413,Pep15
1,0.698412698413,0.555555555556,0.507936507937,0.555555555556,Pep16
1,0.698412698413,0.539682539683,0.349206349206,0.555555555556,Pep17
2,0.783068783069,0.687830687831,0.820105820106,0.783068783069,Pep3,Pep16
2,0.783068783069,0.661375661376,0.867724867725,0.783068783069,Pep3,Pep17
2,0.73544973545,0.708994708995,0.724867724868,0.73544973545,Pep4,Pep5
2,0.73544973545,0.661375661376,0.73544973545,0.783068783069,Pep4,Pep6
2,0.783068783069,0.661375661376,0.783068783069,0.783068783069,Pep4,Pep7
2,0.73544973545,0.613756613757,0.772486772487,0.772486772487,Pep4,Pep8
2,0.783068783069,0.698412698413,0.820105820106,0.783068783069,Pep4,Pep9
2,0.73544973545,0.613756613757,0.724867724868,0.73544973545,Pep4,Pep10
2,0.783068783069,0.650793650794,0.783068783069,0.783068783069,Pep4,Pep11
2,0.746031746032,0.708994708995,0.783068783069,0.783068783069,Pep4,Pep12
2,0.73544973545,0.529100529101,0.73544973545,0.73544973545,Pep4,Pep13
2,0.73544973545,0.661375661376,0.772486772487,0.73544973545,Pep4,Pep14
2,0.746031746032,0.671957671958,0.73544973545,0.783068783069,Pep4,Pep15
2,0.73544973545,0.661375661376,0.783068783069,0.783068783069,Pep4,Pep16
2,0.73544973545,0.613756613757,0.820105820106,0.783068783069,Pep4,Pep17
2,0.73544973545,0.613756613757,0.687830687831,0.634920634921,Pep5,Pep6
2,0.73544973545,0.613756613757,0.624338624339,0.661375661376,Pep5,Pep7
2,0.698412698413,0.746031746032,0.724867724868,0.772486772487,Pep5,Pep8
2,0.698412698413,0.698412698413,0.698412698413,0.624338624339,Pep5,Pep9
2,0.603174603175,0.724867724868,0.529100529101,0.634920634921,Pep5,Pep10
2,0.698412698413,0.698412698413,0.746031746032,0.793650793651,Pep5,Pep11
2,0.746031746032,0.671957671958,0.698412698413,0.783068783069,Pep5,Pep12
2,0.661375661376,0.661375661376,0.529100529101,0.624338624339,Pep5,Pep13
2,0.650793650794,0.719576719577,0.539682539683,0.624338624339,Pep5,Pep14
2,0.746031746032,0.661375661376,0.73544973545,0.73544973545,Pep5,Pep15
2,0.650793650794,0.698412698413,0.386243386243,0.481481481481,Pep5,Pep16
2,0.650793650794,0.481481481481,0.396825396825,0.481481481481,Pep5,Pep17
2,0.783068783069,0.603174603175,0.830687830688,0.783068783069,Pep6,Pep7
2,0.698412698413,0.613756613757,0.724867724868,0.820105820106,Pep6,Pep8
2,0.746031746032,0.793650793651,0.783068783069,0.73544973545,Pep6,Pep9
2,0.603174603175,0.687830687831,0.687830687831,0.746031746032,Pep6,Pep10
2,0.698412698413,0.566137566138,0.783068783069,0.746031746032,Pep6,Pep11
2,0.746031746032,0.650793650794,0.783068783069,0.783068783069,Pep6,Pep12
2,0.73544973545,0.603174603175,0.73544973545,0.783068783069,Pep6,Pep13
2,0.650793650794,0.555555555556,0.73544973545,0.73544973545,Pep6,Pep14
2,0.746031746032,0.624338624339,0.73544973545,0.73544973545,Pep6,Pep15
2,0.698412698413,0.698412698413,0.687830687831,0.73544973545,Pep6,Pep16
2,0.73544973545,0.57671957672,0.73544973545,0.73544973545,Pep6,Pep17
2,0.783068783069,0.708994708995,0.772486772487,0.820105820106,Pep7,Pep8
2,0.698412698413,0.746031746032,0.793650793651,0.73544973545,Pep7,Pep9
2,0.698412698413,0.687830687831,0.624338624339,0.746031746032,Pep7,Pep10
2,0.698412698413,0.650793650794,0.783068783069,0.746031746032,Pep7,Pep11
2,0.746031746032,0.698412698413,0.783068783069,0.746031746032,Pep7,Pep12
2,0.624338624339,0.57671957672,0.783068783069,0.698412698413,Pep7,Pep13
2,0.73544973545,0.650793650794,0.671957671958,0.73544973545,Pep7,Pep14
2,0.746031746032,0.661375661376,0.867724867725,0.698412698413,Pep7,Pep15
2,0.698412698413,0.650793650794,0.698412698413,0.687830687831,Pep7,Pep16
2,0.73544973545,0.650793650794,0.671957671958,0.73544973545,Pep7,Pep17
2,0.746031746032,0.746031746032,0.772486772487,0.820105820106,Pep8,Pep9
2,0.698412698413,0.698412698413,0.677248677249,0.772486772487,Pep8,Pep10
2,0.746031746032,0.793650793651,0.746031746032,0.820105820106,Pep8,Pep11
2,0.746031746032,0.613756613757,0.820105820106,0.820105820106,Pep8,Pep12
2,0.698412698413,0.613756613757,0.650793650794,0.73544973545,Pep8,Pep13
2,0.698412698413,0.698412698413,0.820105820106,0.772486772487,Pep8,Pep14
2,0.746031746032,0.587301587302,0.772486772487,0.820105820106,Pep8,Pep15
2,0.746031746032,0.783068783069,0.724867724868,0.772486772487,Pep8,Pep16
2,0.746031746032,0.587301587302,0.772486772487,0.772486772487,Pep8,Pep17
2,0.650793650794,0.650793650794,0.698412698413,0.73544973545,Pep9,Pep10
2,0.650793650794,0.650793650794,0.746031746032,0.746031746032,Pep9,Pep11
2,0.746031746032,0.793650793651,0.783068783069,0.746031746032,Pep9,Pep12
2,0.698412698413,0.650793650794,0.783068783069,0.73544973545,Pep9,Pep13
2,0.698412698413,0.746031746032,0.746031746032,0.698412698413,Pep9,Pep14
2,0.746031746032,0.708994708995,0.783068783069,0.698412698413,Pep9,Pep15
2,0.698412698413,0.793650793651,0.73544973545,0.650793650794,Pep9,Pep16
2,0.698412698413,0.793650793651,0.783068783069,0.73544973545,Pep9,Pep17
2,0.698412698413,0.624338624339,0.746031746032,0.746031746032,Pep10,Pep11
2,0.746031746032,0.566137566138,0.698412698413,0.746031746032,Pep10,Pep12
2,0.650793650794,0.566137566138,0.57671957672,0.661375661376,Pep10,Pep13
2,0.698412698413,0.698412698413,0.539682539683,0.698412698413,Pep10,Pep14
2,0.746031746032,0.613756613757,0.698412698413,0.698412698413,Pep10,Pep15
2,0.650793650794,0.650793650794,0.566137566138,0.555555555556,Pep10,Pep16
2,0.650793650794,0.624338624339,0.502645502646,0.518518518519,Pep10,Pep17
2,0.746031746032,0.603174603175,0.746031746032,0.746031746032,Pep11,Pep12
2,0.698412698413,0.555555555556,0.756613756614,0.746031746032,Pep11,Pep13
2,0.698412698413,0.603174603175,0.746031746032,0.698412698413,Pep11,Pep14
2,0.698412698413,0.661375661376,0.746031746032,0.698412698413,Pep11,Pep15
2,0.698412698413,0.698412698413,0.698412698413,0.746031746032,Pep11,Pep16
2,0.746031746032,0.624338624339,0.746031746032,0.746031746032,Pep11,Pep17
2,0.746031746032,0.470899470899,0.746031746032,0.746031746032,Pep12,Pep13
2,0.746031746032,0.708994708995,0.746031746032,0.746031746032,Pep12,Pep14
2,0.746031746032,0.661375661376,0.746031746032,0.698412698413,Pep12,Pep15
2,0.746031746032,0.698412698413,0.746031746032,0.746031746032,Pep12,Pep16
2,0.746031746032,0.587301587302,0.746031746032,0.793650793651,Pep12,Pep17
2,0.698412698413,0.518518518519,0.650793650794,0.73544973545,Pep13,Pep14
2,0.783068783069,0.57671957672,0.698412698413,0.698412698413,Pep13,Pep15
2,0.698412698413,0.613756613757,0.613756613757,0.555555555556,Pep13,Pep16
2,0.661375661376,0.539682539683,0.624338624339,0.555555555556,Pep13,Pep17
2,0.746031746032,0.661375661376,0.73544973545,0.698412698413,Pep14,Pep15
2,0.698412698413,0.603174603175,0.650793650794,0.698412698413,Pep14,Pep16
2,0.698412698413,0.539682539683,0.587301587302,0.698412698413,Pep14,Pep17
2,0.746031746032,0.708994708995,0.698412698413,0.650793650794,Pep15,Pep16
2,0.746031746032,0.661375661376,0.783068783069,0.698412698413,Pep15,Pep17
2,0.650793650794,0.502645502646,0.470899470899,0.555555555556,Pep16,Pep17
3,0.746031746032,0.698412698413,0.671957671958,0.708994708995,Pep1,Pep2,Pep3
3,0.698412698413,0.539682539683,0.661375661376,0.661375661376,Pep1,Pep2,Pep4
3,0.687830687831,0.57671957672,0.407407407407,0.502645502646,Pep1,Pep2,Pep5
3,0.650793650794,0.661375661376,0.624338624339,0.550264550265,Pep1,Pep2,Pep6
3,0.624338624339,0.613756613757,0.634920634921,0.587301587302,Pep1,Pep2,Pep7
3,0.698412698413,0.73544973545,0.661375661376,0.698412698413,Pep1,Pep2,Pep8
3,0.698412698413,0.529100529101,0.634920634921,0.550264550265,Pep1,Pep2,Pep9
3,0.687830687831,0.677248677249,0.502645502646,0.502645502646,Pep1,Pep2,Pep10
3,0.698412698413,0.613756613757,0.708994708995,0.746031746032,Pep1,Pep2,Pep11
3,0.746031746032,0.708994708995,0.783068783069,0.671957671958,Pep1,Pep2,Pep12
3,0.613756613757,0.529100529101,0.502645502646,0.529100529101,Pep1,Pep2,Pep13
3,0.73544973545,0.555555555556,0.502645502646,0.502645502646,Pep1,Pep2,Pep14
3,0.746031746032,0.68253968254,0.708994708995,0.661375661376,Pep1,Pep2,Pep15
3,0.73544973545,0.687830687831,0.407407407407,0.502645502646,Pep1,Pep2,Pep16
3,0.73544973545,0.544973544974,0.455026455026,0.455026455026,Pep1,Pep2,Pep17
3,0.698412698413,0.444444444444,0.783068783069,0.783068783069,Pep1,Pep3,Pep4
3,0.783068783069,0.566137566138,0.73544973545,0.783068783069,Pep1,Pep3,Pep5
3,0.73544973545,0.698412698413,0.783068783069,0.783068783069,Pep1,Pep3,Pep6
3,0.708994708995,0.529100529101,0.746031746032,0.783068783069,Pep1,Pep3,Pep7
3,0.708994708995,0.650793650794,0.783068783069,0.783068783069,Pep1,Pep3,Pep8
3,0.746031746032,0.624338624339,0.783068783069,0.783068783069,Pep1,Pep3,Pep9
3,0.783068783069,0.857142857143,0.783068783069,0.783068783069,Pep1,Pep3,Pep10
3,0.746031746032,0.566137566138,0.783068783069,0.783068783069,Pep1,Pep3,Pep11
3,0.746031746032,0.566137566138,0.783068783069,0.783068783069,Pep1,Pep3,Pep12
3,0.671957671958,0.613756613757,0.746031746032,0.783068783069,Pep1,Pep3,Pep13
3,0.73544973545,0.555555555556,0.783068783069,0.783068783069,Pep1,Pep3,Pep14
3,0.698412698413,0.587301587302,0.783068783069,0.73544973545,Pep1,Pep3,Pep15
3,0.783068783069,0.698412698413,0.783068783069,0.783068783069,Pep1,Pep3,Pep16
3,0.783068783069,0.698412698413,0.783068783069,0.783068783069,Pep1,Pep3,Pep17
3,0.698412698413,0.613756613757,0.687830687831,0.783068783069,Pep1,Pep4,Pep5
3,0.698412698413,0.613756613757,0.73544973545,0.783068783069,Pep1,Pep4,Pep6
3,0.671957671958,0.57671957672,0.746031746032,0.783068783069,Pep1,Pep4,Pep7
3,0.698412698413,0.539682539683,0.73544973545,0.73544973545,Pep1,Pep4,Pep8
3,0.746031746032,0.698412698413,0.783068783069,0.783068783069,Pep1,Pep4,Pep9
3,0.698412698413,0.539682539683,0.73544973545,0.73544973545,Pep1,Pep4,Pep10
3,0.746031746032,0.613756613757,0.783068783069,0.783068783069,Pep1,Pep4,Pep11
3,0.746031746032,0.708994708995,0.783068783069,0.783068783069,Pep1,Pep4,Pep12
3,0.624338624339,0.529100529101,0.698412698413,0.73544973545,Pep1,Pep4,Pep13
3,0.650793650794,0.492063492063,0.73544973545,0.73544973545,Pep1,Pep4,Pep14
3,0.746031746032,0.634920634921,0.73544973545,0.783068783069,Pep1,Pep4,Pep15
3,0.698412698413,0.539682539683,0.73544973545,0.783068783069,Pep1,Pep4,Pep16
3,0.698412698413,0.613756613757,0.783068783069,0.783068783069,Pep1,Pep4,Pep17
3,0.650793650794,0.73544973545,0.57671957672,0.587301587302,Pep1,Pep5,Pep6
3,0.624338624339,0.613756613757,0.550264550265,0.587301587302,Pep1,Pep5,Pep7
3,0.698412698413,0.746031746032,0.650793650794,0.73544973545,Pep1,Pep5,Pep8
3,0.698412698413,0.650793650794,0.587301587302,0.502645502646,Pep1,Pep5,Pep9
3,0.650793650794,0.62962962963,0.465608465608,0.502645502646,Pep1,Pep5,Pep10
3,0.698412698413,0.613756613757,0.698412698413,0.698412698413,Pep1,Pep5,Pep11
3,0.746031746032,0.708994708995,0.698412698413,0.746031746032,Pep1,Pep5,Pep12
3,0.57671957672,0.613756613757,0.492063492063,0.539682539683,Pep1,Pep5,Pep13
3,0.698412698413,0.57671957672,0.417989417989,0.502645502646,Pep1,Pep5,Pep14
3,0.746031746032,0.634920634921,0.698412698413,0.698412698413,Pep1,Pep5,Pep15
3,0.698412698413,0.661375661376,0.518518518519,0.407407407407,Pep1,Pep5,Pep16
3,0.698412698413,0.444444444444,0.417989417989,0.407407407407,Pep1,Pep5,Pep17
3,0.624338624339,0.613756613757,0.671957671958,0.746031746032,Pep1,Pep6,Pep7
3,0.698412698413,0.613756613757,0.73544973545,0.783068783069,Pep1,Pep6,Pep8
3,0.698412698413,0.698412698413,0.783068783069,0.698412698413,Pep1,Pep6,Pep9
3,0.650793650794,0.687830687831,0.57671957672,0.698412698413,Pep1,Pep6,Pep10
3,0.650793650794,0.661375661376,0.746031746032,0.746031746032,Pep1,Pep6,Pep11
3,0.698412698413,0.603174603175,0.746031746032,0.746031746032,Pep1,Pep6,Pep12
3,0.57671957672,0.57671957672,0.624338624339,0.698412698413,Pep1,Pep6,Pep13
3,0.650793650794,0.650793650794,0.661375661376,0.698412698413,Pep1,Pep6,Pep14
3,0.746031746032,0.587301587302,0.73544973545,0.698412698413,Pep1,Pep6,Pep15
3,0.650793650794,0.661375661376,0.698412698413,0.650793650794,Pep1,Pep6,Pep16
3,0.650793650794,0.671957671958,0.661375661376,0.650793650794,Pep1,Pep6,Pep17
3,0.671957671958,0.650793650794,0.708994708995,0.783068783069,Pep1,Pep7,Pep8
3,0.661375661376,0.624338624339,0.634920634921,0.698412698413,Pep1,Pep7,Pep9
3,0.624338624339,0.698412698413,0.597883597884,0.661375661376,Pep1,Pep7,Pep10
3,0.698412698413,0.650793650794,0.746031746032,0.746031746032,Pep1,Pep7,Pep11
3,0.746031746032,0.624338624339,0.746031746032,0.746031746032,Pep1,Pep7,Pep12
3,0.587301587302,0.57671957672,0.671957671958,0.698412698413,Pep1,Pep7,Pep13
3,0.624338624339,0.470899470899,0.587301587302,0.698412698413,Pep1,Pep7,Pep14
3,0.708994708995,0.634920634921,0.746031746032,0.698412698413,Pep1,Pep7,Pep15
3,0.624338624339,0.603174603175,0.671957671958,0.698412698413,Pep1,Pep7,Pep16
3,0.624338624339,0.518518518519,0.597883597884,0.624338624339,Pep1,Pep7,Pep17
3,0.746031746032,0.719576719577,0.746031746032,0.783068783069,Pep1,Pep8,Pep9
3,0.698412698413,0.746031746032,0.698412698413,0.746031746032,Pep1,Pep8,Pep10
3,0.746031746032,0.756613756614,0.746031746032,0.746031746032,Pep1,Pep8,Pep11
3,0.746031746032,0.650793650794,0.746031746032,0.783068783069,Pep1,Pep8,Pep12
3,0.624338624339,0.566137566138,0.661375661376,0.73544973545,Pep1,Pep8,Pep13
3,0.650793650794,0.603174603175,0.698412698413,0.73544973545,Pep1,Pep8,Pep14
3,0.746031746032,0.539682539683,0.698412698413,0.783068783069,Pep1,Pep8,Pep15
3,0.746031746032,0.698412698413,0.698412698413,0.73544973545,Pep1,Pep8,Pep16
3,0.746031746032,0.698412698413,0.746031746032,0.73544973545,Pep1,Pep8,Pep17
3,0.613756613757,0.603174603175,0.624338624339,0.698412698413,Pep1,Pep9,Pep10
3,0.650793650794,0.603174603175,0.746031746032,0.698412698413,Pep1,Pep9,Pep11
3,0.746031746032,0.746031746032,0.746031746032,0.746031746032,Pep1,Pep9,Pep12
3,0.698412698413,0.529100529101,0.671957671958,0.698412698413,Pep1,Pep9,Pep13
3,0.698412698413,0.603174603175,0.661375661376,0.698412698413,Pep1,Pep9,Pep14
3,0.746031746032,0.708994708995,0.746031746032,0.698412698413,Pep1,Pep9,Pep15
3,0.698412698413,0.671957671958,0.661375661376,0.603174603175,Pep1,Pep9,Pep16
3,0.698412698413,0.671957671958,0.634920634921,0.613756613757,Pep1,Pep9,Pep17
3,0.698412698413,0.650793650794,0.746031746032,0.746031746032,Pep1,Pep10,Pep11
3,0.746031746032,0.772486772487,0.698412698413,0.746031746032,Pep1,Pep10,Pep12
3,0.57671957672,0.650793650794,0.492063492063,0.661375661376,Pep1,Pep10,Pep13
3,0.650793650794,0.809523809524,0.529100529101,0.687830687831,Pep1,Pep10,Pep14
3,0.746031746032,0.492063492063,0.746031746032,0.698412698413,Pep1,Pep10,Pep15
3,0.650793650794,0.698412698413,0.529100529101,0.687830687831,Pep1,Pep10,Pep16
3,0.698412698413,0.724867724868,0.465608465608,0.502645502646,Pep1,Pep10,Pep17
3,0.698412698413,0.708994708995,0.746031746032,0.746031746032,Pep1,Pep11,Pep12
3,0.624338624339,0.650793650794,0.624338624339,0.746031746032,Pep1,Pep11,Pep13
3,0.698412698413,0.613756613757,0.698412698413,0.698412698413,Pep1,Pep11,Pep14
3,0.650793650794,0.634920634921,0.746031746032,0.698412698413,Pep1,Pep11,Pep15
3,0.698412698413,0.661375661376,0.698412698413,0.746031746032,Pep1,Pep11,Pep16
3,0.698412698413,0.444444444444,0.746031746032,0.746031746032,Pep1,Pep11,Pep17
3,0.671957671958,0.661375661376,0.708994708995,0.746031746032,Pep1,Pep12,Pep13
3,0.746031746032,0.613756613757,0.746031746032,0.746031746032,Pep1,Pep12,Pep14
3,0.698412698413,0.587301587302,0.746031746032,0.698412698413,Pep1,Pep12,Pep15
3,0.746031746032,0.698412698413,0.746031746032,0.698412698413,Pep1,Pep12,Pep16
3,0.746031746032,0.587301587302,0.746031746032,0.746031746032,Pep1,Pep12,Pep17
3,0.624338624339,0.613756613757,0.539682539683,0.650793650794,Pep1,Pep13,Pep14
3,0.708994708995,0.539682539683,0.708994708995,0.698412698413,Pep1,Pep13,Pep15
3,0.624338624339,0.566137566138,0.539682539683,0.650793650794,Pep1,Pep13,Pep16
3,0.624338624339,0.539682539683,0.587301587302,0.613756613757,Pep1,Pep13,Pep17
3,0.698412698413,0.634920634921,0.698412698413,0.698412698413,Pep1,Pep14,Pep15
3,0.698412698413,0.555555555556,0.661375661376,0.698412698413,Pep1,Pep14,Pep16
3,0.698412698413,0.386243386243,0.513227513228,0.661375661376,Pep1,Pep14,Pep17
3,0.746031746032,0.587301587302,0.698412698413,0.650793650794,Pep1,Pep15,Pep16
3,0.746031746032,0.708994708995,0.698412698413,0.698412698413,Pep1,Pep15,Pep17
3,0.698412698413,0.555555555556,0.492063492063,0.518518518519,Pep1,Pep16,Pep17
3,0.746031746032,0.708994708995,0.772486772487,0.783068783069,Pep2,Pep3,Pep4
3,0.783068783069,0.677248677249,0.73544973545,0.634920634921,Pep2,Pep3,Pep5
3,0.783068783069,0.507936507937,0.783068783069,0.783068783069,Pep2,Pep3,Pep6
3,0.783068783069,0.603174603175,0.746031746032,0.746031746032,Pep2,Pep3,Pep7
3,0.746031746032,0.507936507937,0.783068783069,0.783068783069,Pep2,Pep3,Pep8
3,0.746031746032,0.793650793651,0.746031746032,0.783068783069,Pep2,Pep3,Pep9
3,0.783068783069,0.677248677249,0.73544973545,0.746031746032,Pep2,Pep3,Pep10
3,0.746031746032,0.529100529101,0.746031746032,0.746031746032,Pep2,Pep3,Pep11
3,0.746031746032,0.507936507937,0.783068783069,0.746031746032,Pep2,Pep3,Pep12
3,0.783068783069,0.518518518519,0.708994708995,0.708994708995,Pep2,Pep3,Pep13
3,0.783068783069,0.544973544974,0.783068783069,0.746031746032,Pep2,Pep3,Pep14
3,0.746031746032,0.756613756614,0.783068783069,0.698412698413,Pep2,Pep3,Pep15
3,0.746031746032,0.772486772487,0.73544973545,0.746031746032,Pep2,Pep3,Pep16
3,0.783068783069,0.661375661376,0.708994708995,0.708994708995,Pep2,Pep3,Pep17
3,0.698412698413,0.708994708995,0.687830687831,0.624338624339,Pep2,Pep4,Pep5
3,0.698412698413,0.661375661376,0.73544973545,0.746031746032,Pep2,Pep4,Pep6
3,0.746031746032,0.661375661376,0.746031746032,0.746031746032,Pep2,Pep4,Pep7
3,0.698412698413,0.613756613757,0.73544973545,0.73544973545,Pep2,Pep4,Pep8
3,0.746031746032,0.661375661376,0.746031746032,0.783068783069,Pep2,Pep4,Pep9
3,0.746031746032,0.613756613757,0.650793650794,0.698412698413,Pep2,Pep4,Pep10
3,0.746031746032,0.613756613757,0.746031746032,0.746031746032,Pep2,Pep4,Pep11
3,0.746031746032,0.708994708995,0.746031746032,0.746031746032,Pep2,Pep4,Pep12
3,0.661375661376,0.566137566138,0.661375661376,0.661375661376,Pep2,Pep4,Pep13
3,0.698412698413,0.708994708995,0.73544973545,0.73544973545,Pep2,Pep4,Pep14
3,0.746031746032,0.756613756614,0.698412698413,0.746031746032,Pep2,Pep4,Pep15
3,0.698412698413,0.661375661376,0.73544973545,0.783068783069,Pep2,Pep4,Pep16
3,0.746031746032,0.708994708995,0.708994708995,0.708994708995,Pep2,Pep4,Pep17
3,0.698412698413,0.661375661376,0.57671957672,0.634920634921,Pep2,Pep5,Pep6
3,0.756613756614,0.793650793651,0.624338624339,0.587301587302,Pep2,Pep5,Pep7
3,0.650793650794,0.698412698413,0.640211640212,0.624338624339,Pep2,Pep5,Pep8
3,0.698412698413,0.650793650794,0.661375661376,0.587301587302,Pep2,Pep5,Pep9
3,0.603174603175,0.724867724868,0.444444444444,0.634920634921,Pep2,Pep5,Pep10
3,0.698412698413,0.613756613757,0.708994708995,0.719576719577,Pep2,Pep5,Pep11
3,0.746031746032,0.671957671958,0.698412698413,0.634920634921,Pep2,Pep5,Pep12
3,0.661375661376,0.661375661376,0.492063492063,0.624338624339,Pep2,Pep5,Pep13
3,0.650793650794,0.624338624339,0.539682539683,0.587301587302,Pep2,Pep5,Pep14
3,0.793650793651,0.756613756614,0.698412698413,0.624338624339,Pep2,Pep5,Pep15
3,0.650793650794,0.603174603175,0.349206349206,0.444444444444,Pep2,Pep5,Pep16
3,0.650793650794,0.433862433862,0.301587301587,0.444444444444,Pep2,Pep5,Pep17
3,0.746031746032,0.650793650794,0.756613756614,0.708994708995,Pep2,Pep6,Pep7
3,0.698412698413,0.661375661376,0.687830687831,0.783068783069,Pep2,Pep6,Pep8
3,0.746031746032,0.661375661376,0.708994708995,0.661375661376,Pep2,Pep6,Pep9
